,no_coeffs,mse,psnr
0,1,288.42270278930664,23.53050918592837
1,17,8.968658447265625,38.603528757416605
2,33,4.297954559326172,41.79818541322123
3,49,2.8655853271484375,43.55867016104852
4,65,2.1513633728027344,44.80366590427006
5,81,1.7194900512695312,45.77680693470125
6,97,1.432220458984375,46.57070487622913
7,113,1.2236251831054688,47.25431954363706
8,129,1.084686279296875,47.777762142700126
9,145,0.976409912109375,48.23448181322519
10,161,0.8844871520996094,48.663888320594424
11,177,0.8122482299804688,49.03391587247385
12,193,0.7607917785644531,49.31814550081802
13,209,0.7200927734375,49.55691908330518
14,225,0.6814384460449219,49.79653728504058
15,241,0.6547088623046875,49.97032141186217
16,257,0.6294136047363281,50.14144234940758
17,273,0.6099853515625,50.277609550570794
18,289,0.5932083129882812,50.398731324366466
19,305,0.5799522399902344,50.49688130689005
20,321,0.5674629211425781,50.59142871512465
21,337,0.5579605102539062,50.66476898105438
22,353,0.5494499206542969,50.73152245863861
23,369,0.5421638488769531,50.78949805123781
24,385,0.5352706909179688,50.845068968999
25,401,0.5291824340820312,50.89474941278105
26,417,0.5250434875488281,50.92885084851824
27,433,0.5211067199707031,50.96153687188048
28,449,0.5175628662109375,50.99117251588648
29,465,0.5143318176269531,51.01836969363479
30,481,0.5113868713378906,51.043307865297585
31,497,0.5094985961914062,51.05937369124416
32,513,0.5075531005859375,51.07598875691386
33,529,0.50616455078125,51.08788634781326
34,545,0.5045013427734375,51.10218034381565
35,561,0.5033416748046875,51.112174710262664
36,577,0.5025253295898438,51.11922403782636
37,593,0.5016326904296875,51.12694529993795
38,609,0.500457763671875,51.137129299581694
39,625,0.49970245361328125,51.14368878969665
40,641,0.499237060546875,51.14773543421144
41,657,0.4985809326171875,51.153446952390276
42,673,0.49816131591796875,51.157103609425114
43,689,0.4976921081542969,51.16119606626227
44,705,0.49735260009765625,51.16415968146589
45,721,0.4971199035644531,51.1661920920514
46,737,0.4967384338378906,51.16952597172339
47,753,0.49643707275390625,51.17216154738918
48,769,0.4960746765136719,51.17533303013498
49,785,0.495697021484375,51.17864051518512
50,801,0.49568939208984375,51.178707359029254
51,817,0.4955253601074219,51.18014475057965
52,833,0.49541473388671875,51.18111442286753
53,849,0.4953117370605469,51.18201741586777
54,865,0.4951210021972656,51.18369012106764
55,881,0.49498748779296875,51.18486139815451
56,897,0.4948005676269531,51.1865017169516
57,913,0.4947776794433594,51.1867026148971
58,929,0.49471282958984375,51.18727187621527
59,945,0.4946022033691406,51.188243141298784
60,961,0.4946479797363281,51.187841212160436
61,977,0.4946746826171875,51.1876067706733
62,993,0.4947090148925781,51.18730536449899
63,1009,0.4946632385253906,51.18770724404669
